epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3927.54,0.42053,0.21238,0.88044,0.98055,0.97633,0.98767,0.7745,0.99148,0.42064,1.18615,6.8125e-05,6.8125e-05,6.8125e-05
92,3969.7,0.41312,0.20823,0.87175,0.98367,0.97364,0.98796,0.77391,0.97529,0.40789,1.1797,6.19375e-05,6.19375e-05,6.19375e-05
93,4012.25,0.40158,0.20434,0.85853,0.98427,0.97448,0.98861,0.77863,0.9831,0.41513,1.17672,5.575e-05,5.575e-05,5.575e-05
94,4053.73,0.38989,0.20004,0.8546,0.98208,0.97467,0.98746,0.77857,0.97231,0.40825,1.17724,4.95625e-05,4.95625e-05,4.95625e-05
95,4095.18,0.38864,0.19841,0.85513,0.98543,0.9746,0.98889,0.77853,0.97192,0.40523,1.17685,4.3375e-05,4.3375e-05,4.3375e-05
96,4136.52,0.38517,0.19865,0.85801,0.98599,0.97425,0.98825,0.77999,0.9796,0.40509,1.18499,3.71875e-05,3.71875e-05,3.71875e-05
97,4178.5,0.37998,0.19778,0.85376,0.98513,0.97488,0.9887,0.77695,0.98119,0.40752,1.18306,3.1e-05,3.1e-05,3.1e-05
98,4219.82,0.37224,0.19477,0.85536,0.98125,0.97387,0.9883,0.77655,0.98151,0.41024,1.18574,2.48125e-05,2.48125e-05,2.48125e-05
99,4260.83,0.36624,0.19179,0.84972,0.98044,0.97627,0.98858,0.77763,0.9788,0.41169,1.18412,1.8625e-05,1.8625e-05,1.8625e-05
100,4302.21,0.37061,0.19406,0.85096,0.98028,0.97613,0.9883,0.77641,0.97855,0.41084,1.18221,1.24375e-05,1.24375e-05,1.24375e-05
