epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5169.09,0.60657,0.3304,0.97902,0.97129,0.98394,0.98709,0.772,0.91206,0.34076,1.26459,0.000110662,0.000110662,0.000110662
84,5230.75,0.60087,0.3216,0.98015,0.96932,0.98446,0.98643,0.7714,0.92268,0.33882,1.28052,0.00010484,0.00010484,0.00010484
85,5292.34,0.59563,0.32291,0.98008,0.9675,0.9791,0.98555,0.76913,0.90371,0.34431,1.26279,9.90192e-05,9.90192e-05,9.90192e-05
86,5354.46,0.59028,0.32219,0.97027,0.96652,0.97721,0.98499,0.76969,0.91818,0.33963,1.28175,9.3198e-05,9.3198e-05,9.3198e-05
87,5415.96,0.59549,0.32126,0.97487,0.96877,0.97871,0.98667,0.76802,0.9264,0.34115,1.28119,8.73768e-05,8.73768e-05,8.73768e-05
88,5477.2,0.58718,0.31872,0.97393,0.96418,0.98041,0.98492,0.76838,0.92522,0.34291,1.27735,8.15556e-05,8.15556e-05,8.15556e-05
89,5538.53,0.57955,0.31509,0.96838,0.97394,0.97366,0.98522,0.7687,0.92242,0.3415,1.28003,7.57344e-05,7.57344e-05,7.57344e-05
90,5598.76,0.58149,0.31539,0.96949,0.97559,0.97283,0.98623,0.76949,0.90246,0.33841,1.27148,6.99132e-05,6.99132e-05,6.99132e-05
91,5659.82,0.47756,0.23557,0.94128,0.97596,0.97705,0.98553,0.76719,0.91643,0.34615,1.28486,6.4092e-05,6.4092e-05,6.4092e-05
92,5720.59,0.46852,0.23224,0.9314,0.96493,0.98638,0.98494,0.76485,0.92341,0.34153,1.3175,5.82708e-05,5.82708e-05,5.82708e-05
93,5780.74,0.4547,0.22773,0.92206,0.97698,0.97642,0.98523,0.76635,0.91739,0.3461,1.30214,5.24496e-05,5.24496e-05,5.24496e-05
94,5841.32,0.44494,0.22471,0.91951,0.97111,0.9824,0.98575,0.76892,0.91666,0.34497,1.30677,4.66284e-05,4.66284e-05,4.66284e-05
95,5900.43,0.43814,0.22321,0.91282,0.97677,0.98217,0.98618,0.76645,0.92296,0.34275,1.32398,4.08072e-05,4.08072e-05,4.08072e-05
96,5961.11,0.43898,0.22128,0.91373,0.97632,0.97743,0.98635,0.76778,0.93017,0.33767,1.31796,3.4986e-05,3.4986e-05,3.4986e-05
97,6021.17,0.43346,0.2201,0.90924,0.9755,0.97979,0.98624,0.76755,0.93611,0.34185,1.33153,2.91648e-05,2.91648e-05,2.91648e-05
98,6081.19,0.42732,0.21671,0.90348,0.97868,0.9765,0.98606,0.76893,0.92818,0.33768,1.31692,2.33436e-05,2.33436e-05,2.33436e-05
99,6141.62,0.42224,0.21503,0.90294,0.97238,0.9836,0.98569,0.76584,0.93201,0.33935,1.31999,1.75224e-05,1.75224e-05,1.75224e-05
100,6201.28,0.41842,0.21226,0.89719,0.96836,0.98202,0.98554,0.7665,0.93136,0.33913,1.32002,1.17012e-05,1.17012e-05,1.17012e-05
